draw_number,draw_date,first_prize,second_prize,third_prize,starter_1,starter_2,starter_3,starter_4,starter_5,starter_6,starter_7,starter_8,starter_9,starter_10,consolation_1,consolation_2,consolation_3,consolation_4,consolation_5,consolation_6,consolation_7,consolation_8,consolation_9,consolation_10
5100,2023-12-03,1934,2403,4424,0638,1254,1546,3683,4064,5281,6000,6460,8368,9031,0159,1039,1968,2979,3014,3591,5681,6327,6364,9701
5101,2023-12-06,8598,8413,2140,0273,0649,1964,2177,3995,5337,7468,8681,8879,9367,2546,3475,3797,6303,6498,6507,6906,9249,9594,9776
5102,2023-12-09,8019,5653,4589,0150,0296,1170,1557,6159,7516,8338,8557,9064,9600,0363,0568,2428,5098,5564,6146,8085,8210,9028,9595
5103,2023-12-10,3253,6349,3276,1213,2791,3637,4672,5514,6103,6191,7967,8015,8040,0526,2260,3436,5067,5405,6155,6514,7187,8154,9436
5104,2023-12-13,7089,0639,7868,1043,1668,3933,4057,5946,6308,6411,6859,9234,9288,2256,3466,4114,5238,5504,8119,8496,8524,8871,8996
5105,2023-12-16,2612,8773,0660,0526,0554,2044,3312,4079,5735,6908,7685,9106,9295,0402,1254,1650,2111,2518,3257,6006,6642,8460,8594
5106,2023-12-17,8262,5547,0200,0083,4636,6208,6786,6956,7497,7618,8429,9237,9341,1307,1436,3257,3909,4562,4664,5775,7762,7871,8420
5107,2023-12-20,9212,2547,2829,0186,0411,3472,5554,6122,6980,8473,8546,9717,9946,0822,3043,3160,3192,4548,5101,6510,8228,8409,8553
5108,2023-12-23,3020,4269,3733,0124,1450,2135,2456,3081,3569,4349,7320,8182,8941,0774,1519,1677,2178,2960,4315,4452,6375,7874,8298
5109,2023-12-24,1806,8877,1643,1806,1986,4280,4551,6210,6277,6647,8579,8767,9303,0778,1931,1942,2279,2519,2645,4226,6859,7558,8509
5110,2023-12-27,1461,7340,8707,1025,1452,1814,2390,3782,4151,4163,4522,6584,7880,0532,1345,2672,3015,4787,7536,7846,7966,8247,8927
5111,2023-12-30,6357,4498,7815,1109,1911,1999,2964,3368,6172,8548,8825,9253,9404,0998,3000,5515,5587,5774,8194,8511,8651,8913,9522
5112,2023-12-31,8989,6055,9220,0223,0403,2250,2959,3884,4056,5114,5848,7935,7967,1108,2201,3102,3904,4155,4188,7137,7450,8713,9108
5113,2024-01-03,2982,4134,7925,0309,2915,5064,5147,5156,6163,7638,7795,9129,9398,0777,0927,1392,2106,3067,4213,4330,7374,8259,8741
5114,2024-01-06,9661,8697,4489,1144,1705,1868,4464,6532,7431,8337,8845,9044,9564,0278,0528,5344,6587,7419,7450,7845,8060,8964,9713
5115,2024-01-07,5451,4263,2745,2438,2919,4453,4638,5660,7719,7730,7938,8327,9266,0822,1270,3616,5134,5805,6631,7997,8251,8344,9238
5116,2024-01-10,2754,1914,1491,0185,3587,4728,5223,6182,6458,6756,6798,8456,8753,0129,1393,1807,2698,4222,4991,6795,8402,8606,9559
5117,2024-01-13,6272,3902,9979,0315,2514,2691,3155,3687,4914,4971,5202,6587,8547,1703,1926,2697,3697,4335,5316,8344,8558,8766,9232
5118,2024-01-14,7862,1876,7968,0160,0548,0626,5252,5318,6253,6749,7073,8185,9841,0461,0917,3262,5508,7242,8165,8328,9309,9774,9779
5119,2024-01-17,0344,0223,2625,0362,1274,1354,2814,3023,5716,6706,7137,7188,7856,0834,0999,1718,4021,4349,4401,4475,5562,5873,6025
5120,2024-01-20,1525,3207,4343,1272,2462,3961,7448,7498,7547,7658,8235,8455,9691,1302,1993,2568,4155,4297,4646,4930,8027,9742,9996
5121,2024-01-21,6118,4846,9382,0752,5096,5906,8077,8165,8456,8464,8629,8856,9497,0037,0586,2698,6076,6342,6504,7302,8222,8531,8797
5122,2024-01-24,1634,5936,3965,0266,0406,1821,4692,5066,5851,6245,6417,6493,7478,0033,2512,3254,5627,6527,6775,6906,6962,7351,8791
5123,2024-01-27,5166,6105,8724,1850,2515,4398,4433,6111,6700,7072,8677,9543,9665,2529,3523,3768,4513,5387,6289,8019,8951,9443,9682
5124,2024-01-28,5756,9987,7366,0103,1702,2650,4686,4697,6820,7330,7384,8362,9331,0181,0779,0912,3068,4985,7054,7382,8032,8753,9956
5125,2024-01-31,0394,9274,5623,0080,0177,1230,3172,3423,4821,5608,6957,7928,8365,1766,2135,2822,3477,5264,5383,5694,7955,8815,9371
5126,2024-02-03,4704,2409,1254,1834,1996,4183,7019,7187,7909,7942,8352,9153,9373,0136,1951,3469,3989,4877,5208,5551,6189,7092,8271
